date,hub_id,rainfall_3d_mm,flood_risk_3d,salinity_risk_14d,supply_factor,delay_factor,priority_add,road_capacity_factor,freight_weather_factor
2024-01-01,HUB_LONGXUYEN,0.000000,0.000000,0.099000,0.991090,1.014256,0.019602,0.987526,1.010692
2024-01-01,HUB_SOCTRANG,0.000000,0.000000,0.550000,0.950500,1.079200,0.108900,0.930700,1.059400
2024-01-01,HUB_VINHLONG,0.000000,0.000000,0.247500,0.977725,1.035640,0.049005,0.968815,1.026730
2024-01-01,HUB_VITHANH,0.000000,0.000000,0.302500,0.972775,1.043560,0.059895,0.961885,1.032670
2024-01-02,HUB_LONGXUYEN,5.168667,0.001524,0.099000,1.015877,1.000000,0.000000,1.000000,1.000000
2024-01-02,HUB_SOCTRANG,4.783381,0.001410,0.550000,0.975303,1.039516,0.054334,0.965424,1.029637
2024-01-02,HUB_VINHLONG,5.431688,0.001602,0.247500,1.002501,1.000000,0.000000,1.000000,1.000000
2024-01-02,HUB_VITHANH,6.183738,0.001823,0.302500,0.997520,1.003968,0.005457,0.996528,1.002976
2024-01-03,HUB_LONGXUYEN,3.549388,0.001047,0.099000,0.990943,1.014490,0.019924,0.987321,1.010868
2024-01-03,HUB_SOCTRANG,4.115134,0.001213,0.550000,0.975330,1.039472,0.054274,0.965462,1.029604
2024-01-03,HUB_VINHLONG,4.196354,0.001237,0.247500,1.002552,1.000000,0.000000,1.000000,1.000000
2024-01-03,HUB_VITHANH,4.103094,0.001210,0.302500,0.997606,1.003831,0.005268,0.996648,1.002873
2024-01-04,HUB_LONGXUYEN,5.703929,0.001682,0.099000,1.015855,1.000000,0.000000,1.000000,1.000000
2024-01-04,HUB_SOCTRANG,5.580441,0.001645,0.550000,0.975270,1.039569,0.054407,0.965377,1.029676
2024-01-04,HUB_VINHLONG,5.796765,0.001709,0.247500,1.002486,1.000000,0.000000,1.000000,1.000000
2024-01-04,HUB_VITHANH,5.476703,0.001615,0.302500,0.997549,1.003922,0.005392,0.996568,1.002941
2024-01-05,HUB_LONGXUYEN,5.960148,0.001758,0.099000,1.015844,1.000000,0.000000,1.000000,1.000000
2024-01-05,HUB_SOCTRANG,5.843433,0.001723,0.550000,0.975259,1.039586,0.054431,0.965362,1.029689
2024-01-05,HUB_VINHLONG,5.728564,0.001689,0.247500,1.002489,1.000000,0.000000,1.000000,1.000000
2024-01-05,HUB_VITHANH,5.328745,0.001571,0.302500,0.997555,1.003912,0.005379,0.996577,1.002934
2024-01-06,HUB_LONGXUYEN,8.418160,0.002482,0.099000,1.015742,1.000000,0.000000,1.000000,1.000000
2024-01-06,HUB_SOCTRANG,7.474788,0.002204,0.550000,0.975191,1.039694,0.054579,0.965268,1.029770
2024-01-06,HUB_VINHLONG,8.022447,0.002366,0.247500,1.002394,1.000000,0.000000,1.000000,1.000000
2024-01-06,HUB_VITHANH,7.465398,0.002201,0.302500,0.997467,1.004053,0.005573,0.996454,1.003040
2024-01-07,HUB_LONGXUYEN,6.516392,0.001921,0.099000,1.015821,1.000000,0.000000,1.000000,1.000000
2024-01-07,HUB_SOCTRANG,6.248584,0.001843,0.550000,0.975242,1.039613,0.054467,0.965339,1.029710
2024-01-07,HUB_VINHLONG,6.841825,0.002017,0.247500,1.002443,1.000000,0.000000,1.000000,1.000000
2024-01-07,HUB_VITHANH,6.677745,0.001969,0.302500,0.997499,1.004001,0.005501,0.996499,1.003001
2024-01-08,HUB_LONGXUYEN,7.761135,0.002288,0.099000,1.015770,1.000000,0.000000,1.000000,1.000000
2024-01-08,HUB_SOCTRANG,7.770992,0.002291,0.550000,0.975179,1.039713,0.054606,0.965251,1.029785
2024-01-08,HUB_VINHLONG,7.975574,0.002352,0.247500,1.002396,1.000000,0.000000,1.000000,1.000000
2024-01-08,HUB_VITHANH,8.087376,0.002385,0.302500,0.997441,1.004094,0.005629,0.996418,1.003071
2024-01-09,HUB_LONGXUYEN,6.944058,0.002048,0.099000,1.015803,1.000000,0.000000,1.000000,1.000000
2024-01-09,HUB_SOCTRANG,6.888067,0.002031,0.550000,0.975216,1.039655,0.054526,0.965302,1.029741
2024-01-09,HUB_VINHLONG,6.817109,0.002010,0.247500,1.002444,1.000000,0.000000,1.000000,1.000000
2024-01-09,HUB_VITHANH,7.130627,0.002103,0.302500,0.997481,1.004031,0.005543,0.996473,1.003023
2024-01-10,HUB_LONGXUYEN,8.459073,0.002494,0.099000,1.015741,1.000000,0.000000,1.000000,1.000000
2024-01-10,HUB_SOCTRANG,8.469217,0.002497,0.550000,0.975150,1.039759,0.054669,0.965211,1.029820
2024-01-10,HUB_VINHLONG,7.915780,0.002334,0.247500,1.002398,1.000000,0.000000,1.000000,1.000000
2024-01-10,HUB_VITHANH,8.432087,0.002486,0.302500,0.997427,1.004117,0.005661,0.996398,1.003088
2024-01-11,HUB_LONGXUYEN,7.575783,0.002234,0.099000,1.015777,1.000000,0.000000,1.000000,1.000000
2024-01-11,HUB_SOCTRANG,7.786573,0.002296,0.550000,0.975179,1.039714,0.054607,0.965250,1.029786
2024-01-11,HUB_VINHLONG,6.965186,0.002054,0.247500,1.002437,1.000000,0.000000,1.000000,1.000000
2024-01-11,HUB_VITHANH,7.653433,0.002257,0.302500,0.997459,1.004066,0.005590,0.996443,1.003049
2024-01-12,HUB_LONGXUYEN,6.028686,0.001778,0.099000,1.015841,1.000000,0.000000,1.000000,1.000000
2024-01-12,HUB_SOCTRANG,6.384784,0.001883,0.550000,0.975236,1.039622,0.054480,0.965331,1.029716
2024-01-12,HUB_VINHLONG,5.864153,0.001729,0.247500,1.002483,1.000000,0.000000,1.000000,1.000000
2024-01-12,HUB_VITHANH,6.969094,0.002055,0.302500,0.997487,1.004020,0.005528,0.996482,1.003015
2024-01-13,HUB_LONGXUYEN,5.152653,0.001519,0.099000,1.015877,1.000000,0.000000,1.000000,1.000000
2024-01-13,HUB_SOCTRANG,5.734370,0.001691,0.550000,0.975263,1.039579,0.054421,0.965369,1.029684
2024-01-13,HUB_VINHLONG,5.248876,0.001548,0.247500,1.002508,1.000000,0.000000,1.000000,1.000000
2024-01-13,HUB_VITHANH,6.004949,0.001771,0.302500,0.997527,1.003957,0.005440,0.996538,1.002967
2024-01-14,HUB_LONGXUYEN,10.281394,0.003032,0.099000,1.015666,1.000000,0.000000,1.000000,1.000000
2024-01-14,HUB_SOCTRANG,11.459596,0.003379,0.550000,0.975027,1.039957,0.054941,0.965038,1.029968
2024-01-14,HUB_VINHLONG,11.068610,0.003264,0.247500,1.002268,1.000000,0.000000,1.000000,1.000000
2024-01-14,HUB_VITHANH,11.811811,0.003483,0.302500,0.997287,1.004340,0.005968,0.996202,1.003255
2024-01-15,HUB_LONGXUYEN,12.868978,0.003795,0.099000,1.015559,1.000000,0.000000,1.000000,1.000000
2024-01-15,HUB_SOCTRANG,14.383626,0.004241,0.550000,0.974906,1.040150,0.055206,0.964869,1.030113
2024-01-15,HUB_VINHLONG,13.507555,0.003983,0.247500,1.002167,1.000000,0.000000,1.000000,1.000000
2024-01-15,HUB_VITHANH,13.675280,0.004032,0.302500,0.997210,1.004463,0.006137,0.996095,1.003347
2024-01-16,HUB_LONGXUYEN,12.905950,0.003806,0.099000,1.015557,1.000000,0.000000,1.000000,1.000000
2024-01-16,HUB_SOCTRANG,15.020324,0.004429,0.550000,0.974880,1.040192,0.055264,0.964832,1.030144
2024-01-16,HUB_VINHLONG,13.797754,0.004069,0.247500,1.002155,1.000000,0.000000,1.000000,1.000000
2024-01-16,HUB_VITHANH,13.554030,0.003997,0.302500,0.997215,1.004455,0.006126,0.996102,1.003341
2024-01-17,HUB_LONGXUYEN,6.945662,0.002048,0.099000,1.015803,1.000000,0.000000,1.000000,1.000000
2024-01-17,HUB_SOCTRANG,8.030169,0.002368,0.550000,0.975169,1.039730,0.054629,0.965236,1.029798
2024-01-17,HUB_VINHLONG,7.319205,0.002158,0.247500,1.002423,1.000000,0.000000,1.000000,1.000000
2024-01-17,HUB_VITHANH,6.269633,0.001849,0.302500,0.997516,1.003974,0.005464,0.996523,1.002981
2024-01-18,HUB_LONGXUYEN,5.673074,0.001673,0.099000,1.015856,1.000000,0.000000,1.000000,1.000000
2024-01-18,HUB_SOCTRANG,6.936735,0.002045,0.550000,0.975214,1.039658,0.054530,0.965299,1.029744
2024-01-18,HUB_VINHLONG,6.455686,0.001904,0.247500,1.002459,1.000000,0.000000,1.000000,1.000000
2024-01-18,HUB_VITHANH,5.459478,0.001610,0.302500,0.997550,1.003921,0.005391,0.996569,1.002940
2024-01-19,HUB_LONGXUYEN,4.609340,0.001359,0.099000,1.015900,1.000000,0.000000,1.000000,1.000000
2024-01-19,HUB_SOCTRANG,5.118228,0.001509,0.550000,0.975289,1.039538,0.054365,0.965404,1.029654
2024-01-19,HUB_VINHLONG,4.568267,0.001347,0.247500,1.002536,1.000000,0.000000,1.000000,1.000000
2024-01-19,HUB_VITHANH,4.652279,0.001372,0.302500,0.997583,1.003867,0.005318,0.996616,1.002900
2024-01-20,HUB_LONGXUYEN,4.262622,0.001257,0.099000,1.015914,1.000000,0.000000,1.000000,1.000000
2024-01-20,HUB_SOCTRANG,4.358617,0.001285,0.550000,0.975320,1.039488,0.054296,0.965448,1.029616
2024-01-20,HUB_VINHLONG,3.877063,0.001143,0.247500,0.977565,1.035896,0.049357,0.968591,1.026922
2024-01-20,HUB_VITHANH,4.362064,0.001286,0.302500,0.997595,1.003848,0.005291,0.996633,1.002886
2024-01-21,HUB_LONGXUYEN,3.447303,0.001016,0.099000,0.990948,1.014484,0.019915,0.987327,1.010863
2024-01-21,HUB_SOCTRANG,3.007512,0.000887,0.550000,0.950376,1.079399,0.109173,0.930526,1.059549
2024-01-21,HUB_VINHLONG,2.928333,0.000863,0.247500,0.977604,1.035833,0.049271,0.968646,1.026875
2024-01-21,HUB_VITHANH,2.711739,0.000800,0.302500,0.972663,1.043739,0.060141,0.961728,1.032804
2024-01-22,HUB_LONGXUYEN,7.000192,0.002064,0.099000,1.015801,1.000000,0.000000,1.000000,1.000000
2024-01-22,HUB_SOCTRANG,6.476267,0.001910,0.550000,0.975233,1.039628,0.054488,0.965326,1.029721
2024-01-22,HUB_VINHLONG,6.646703,0.001960,0.247500,1.002451,1.000000,0.000000,1.000000,1.000000
2024-01-22,HUB_VITHANH,6.358384,0.001875,0.302500,0.997513,1.003980,0.005472,0.996518,1.002985
2024-01-23,HUB_LONGXUYEN,6.744490,0.001989,0.099000,1.015812,1.000000,0.000000,1.000000,1.000000
2024-01-23,HUB_SOCTRANG,6.886594,0.002031,0.550000,0.975216,1.039655,0.054525,0.965302,1.029741
2024-01-23,HUB_VINHLONG,7.080704,0.002088,0.247500,1.002433,1.000000,0.000000,1.000000,1.000000
2024-01-23,HUB_VITHANH,6.095139,0.001797,0.302500,0.997523,1.003963,0.005449,0.996533,1.002972
2024-01-24,HUB_LONGXUYEN,10.545525,0.003110,0.099000,1.015655,1.000000,0.000000,1.000000,1.000000
2024-01-24,HUB_SOCTRANG,11.566954,0.003411,0.550000,0.975022,1.039964,0.054951,0.965031,1.029973
2024-01-24,HUB_VINHLONG,10.164635,0.002997,0.247500,1.002305,1.000000,0.000000,1.000000,1.000000
2024-01-24,HUB_VITHANH,10.472228,0.003088,0.302500,0.997343,1.004252,0.005846,0.996280,1.003189
2024-01-25,HUB_LONGXUYEN,7.445272,0.002195,0.099000,1.015783,1.000000,0.000000,1.000000,1.000000
2024-01-25,HUB_SOCTRANG,8.241914,0.002430,0.550000,0.975160,1.039744,0.054649,0.965224,1.029808
2024-01-25,HUB_VINHLONG,7.163835,0.002112,0.247500,1.002429,1.000000,0.000000,1.000000,1.000000
2024-01-25,HUB_VITHANH,6.870793,0.002026,0.302500,0.997491,1.004014,0.005519,0.996488,1.003010
2024-01-26,HUB_LONGXUYEN,7.988697,0.002356,0.099000,1.015760,1.000000,0.000000,1.000000,1.000000
