ts,fuel_type,price_vnd_per_liter,adjustment_date,source_type
2024-01-01T00:00:00+07:00,diesel_005s,21745.000000,2024-01-01,simulated
2024-01-01T00:00:00+07:00,gasoline,20003.000000,2024-01-01,simulated
2024-01-01T00:00:00+07:00,marine_diesel,18500.000000,2024-01-01,simulated
2024-01-15T00:00:00+07:00,diesel_005s,21842.309730,2024-01-15,simulated
2024-01-15T00:00:00+07:00,gasoline,19268.384343,2024-01-15,simulated
2024-01-15T00:00:00+07:00,marine_diesel,18135.446849,2024-01-15,simulated
2024-01-29T00:00:00+07:00,diesel_005s,22176.970988,2024-01-29,simulated
2024-01-29T00:00:00+07:00,gasoline,19496.547816,2024-01-29,simulated
2024-01-29T00:00:00+07:00,marine_diesel,18400.174998,2024-01-29,simulated
2024-02-12T00:00:00+07:00,diesel_005s,22313.132084,2024-02-12,simulated
2024-02-12T00:00:00+07:00,gasoline,18999.750642,2024-02-12,simulated
2024-02-12T00:00:00+07:00,marine_diesel,18479.076796,2024-02-12,simulated
2024-02-26T00:00:00+07:00,diesel_005s,22648.940747,2024-02-26,simulated
2024-02-26T00:00:00+07:00,gasoline,19465.957876,2024-02-26,simulated
2024-02-26T00:00:00+07:00,marine_diesel,18795.545068,2024-02-26,simulated
2024-03-11T00:00:00+07:00,diesel_005s,22740.736025,2024-03-11,simulated
2024-03-11T00:00:00+07:00,gasoline,19446.877042,2024-03-11,simulated
2024-03-11T00:00:00+07:00,marine_diesel,18912.183033,2024-03-11,simulated
2024-03-25T00:00:00+07:00,diesel_005s,22103.000771,2024-03-25,simulated
2024-03-25T00:00:00+07:00,gasoline,19232.260717,2024-03-25,simulated
2024-03-25T00:00:00+07:00,marine_diesel,19552.586704,2024-03-25,simulated
2024-04-08T00:00:00+07:00,diesel_005s,21856.435214,2024-04-08,simulated
2024-04-08T00:00:00+07:00,gasoline,19168.115387,2024-04-08,simulated
2024-04-08T00:00:00+07:00,marine_diesel,18691.253699,2024-04-08,simulated
2024-04-22T00:00:00+07:00,diesel_005s,21546.417758,2024-04-22,simulated
2024-04-22T00:00:00+07:00,gasoline,20069.278208,2024-04-22,simulated
2024-04-22T00:00:00+07:00,marine_diesel,19284.143677,2024-04-22,simulated
2024-05-06T00:00:00+07:00,diesel_005s,21716.482886,2024-05-06,simulated
2024-05-06T00:00:00+07:00,gasoline,20169.501609,2024-05-06,simulated
2024-05-06T00:00:00+07:00,marine_diesel,18515.307826,2024-05-06,simulated
2024-05-20T00:00:00+07:00,diesel_005s,21662.612251,2024-05-20,simulated
2024-05-20T00:00:00+07:00,gasoline,20752.181382,2024-05-20,simulated
2024-05-20T00:00:00+07:00,marine_diesel,18566.881491,2024-05-20,simulated
