vehicle_id,vehicle_type,mode,capacity_ton,current_node_id,status,available_from_ts,cost_fixed_vnd,cost_per_km_vnd,speed_kmh,has_reefer,owner_hub_id
VEH_TRK5_001,truck_5t,road,5.000000,HUB_VITHANH,maintenance,2024-01-02T01:14:06+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_002,truck_5t,road,5.000000,HUB_VITHANH,maintenance,2024-01-02T14:07:26+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_003,truck_5t,road,5.000000,HUB_VITHANH,en_route,2024-01-01T16:26:39+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_004,truck_5t,road,5.000000,HUB_VITHANH,available,2024-01-01T01:49:51+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_005,truck_5t,road,5.000000,HUB_VITHANH,available,2024-01-01T01:27:54+07:00,250000.000000,12000.000000,45.000000,False,HUB_VITHANH
VEH_TRK5_006,truck_5t,road,5.000000,HUB_LONGXUYEN,reserved,2024-01-01T14:09:20+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_007,truck_5t,road,5.000000,HUB_LONGXUYEN,available,2024-01-01T01:01:33+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_008,truck_5t,road,5.000000,HUB_LONGXUYEN,en_route,2024-01-01T11:40:44+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_009,truck_5t,road,5.000000,HUB_LONGXUYEN,en_route,2024-01-01T12:54:30+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_010,truck_5t,road,5.000000,HUB_LONGXUYEN,available,2024-01-01T01:08:36+07:00,250000.000000,12000.000000,45.000000,False,HUB_LONGXUYEN
VEH_TRK5_011,truck_5t,road,5.000000,HUB_SOCTRANG,available,2024-01-01T01:28:51+07:00,250000.000000,12000.000000,45.000000,False,HUB_SOCTRANG
VEH_TRK5_012,truck_5t,road,5.000000,HUB_SOCTRANG,en_route,2024-01-01T03:42:30+07:00,250000.000000,12000.000000,45.000000,False,HUB_SOCTRANG
VEH_TRK5_013,truck_5t,road,5.000000,HUB_SOCTRANG,available,2024-01-01T00:47:13+07:00,250000.000000,12000.000000,45.000000,False,HUB_SOCTRANG
VEH_TRK5_014,truck_5t,road,5.000000,HUB_SOCTRANG,available,2024-01-01T00:42:02+07:00,250000.000000,12000.000000,45.000000,False,HUB_SOCTRANG
VEH_TRK5_015,truck_5t,road,5.000000,HUB_SOCTRANG,en_route,2024-01-01T12:15:03+07:00,250000.000000,12000.000000,45.000000,False,HUB_SOCTRANG
VEH_TRK5_016,truck_5t,road,5.000000,HUB_VINHLONG,reserved,2024-01-01T16:26:40+07:00,250000.000000,12000.000000,45.000000,False,HUB_VINHLONG
VEH_TRK5_017,truck_5t,road,5.000000,HUB_VINHLONG,en_route,2024-01-01T14:14:20+07:00,250000.000000,12000.000000,45.000000,False,HUB_VINHLONG
VEH_TRK5_018,truck_5t,road,5.000000,HUB_VINHLONG,available,2024-01-01T00:57:45+07:00,250000.000000,12000.000000,45.000000,False,HUB_VINHLONG
VEH_TRK5_019,truck_5t,road,5.000000,HUB_VINHLONG,en_route,2024-01-01T13:52:43+07:00,250000.000000,12000.000000,45.000000,False,HUB_VINHLONG
VEH_TRK5_020,truck_5t,road,5.000000,HUB_VINHLONG,en_route,2024-01-01T15:44:47+07:00,250000.000000,12000.000000,45.000000,False,HUB_VINHLONG
VEH_TRK5_021,truck_5t,road,5.000000,CT_HUB,available,2024-01-01T01:05:57+07:00,250000.000000,12000.000000,45.000000,False,
VEH_TRK5_022,truck_5t,road,5.000000,CT_HUB,available,2024-01-01T01:21:35+07:00,250000.000000,12000.000000,45.000000,False,
VEH_TRK5_023,truck_5t,road,5.000000,CT_HUB,available,2024-01-01T00:35:20+07:00,250000.000000,12000.000000,45.000000,False,
VEH_TRK5_024,truck_5t,road,5.000000,CT_HUB,available,2024-01-01T00:04:48+07:00,250000.000000,12000.000000,45.000000,False,
VEH_TRK15_001,truck_15t,road,15.000000,HUB_VITHANH,available,2024-01-01T01:49:42+07:00,420000.000000,18500.000000,42.000000,False,HUB_VITHANH
VEH_TRK15_002,truck_15t,road,15.000000,HUB_VITHANH,available,2024-01-01T01:53:33+07:00,420000.000000,18500.000000,42.000000,False,HUB_VITHANH
VEH_TRK15_003,truck_15t,road,15.000000,HUB_VITHANH,maintenance,2024-01-01T23:53:00+07:00,420000.000000,18500.000000,42.000000,False,HUB_VITHANH
VEH_TRK15_004,truck_15t,road,15.000000,HUB_LONGXUYEN,available,2024-01-01T00:47:21+07:00,420000.000000,18500.000000,42.000000,False,HUB_LONGXUYEN
VEH_TRK15_005,truck_15t,road,15.000000,HUB_LONGXUYEN,available,2024-01-01T01:12:52+07:00,420000.000000,18500.000000,42.000000,False,HUB_LONGXUYEN
VEH_TRK15_006,truck_15t,road,15.000000,HUB_LONGXUYEN,available,2024-01-01T01:03:51+07:00,420000.000000,18500.000000,42.000000,False,HUB_LONGXUYEN
VEH_TRK15_007,truck_15t,road,15.000000,HUB_SOCTRANG,available,2024-01-01T00:40:11+07:00,420000.000000,18500.000000,42.000000,False,HUB_SOCTRANG
