model,scope,grain,n_observations,mae,rmse,smape,wape,r2
seasonal_naive,all_hubs,daily_hub,1460,2.936301,3.736620,0.515471,0.464112,-0.875145
seasonal_naive,HUB_LONGXUYEN,daily_hub,365,3.005479,3.818125,0.502742,0.455376,-0.811343
seasonal_naive,HUB_SOCTRANG,daily_hub,365,2.816438,3.522919,0.485664,0.439692,-0.772308
seasonal_naive,HUB_VINHLONG,daily_hub,365,2.972603,3.850280,0.540447,0.493182,-1.037484
seasonal_naive,HUB_VITHANH,daily_hub,365,2.950685,3.746414,0.533029,0.470306,-0.926952
rolling_28d,all_hubs,daily_hub,1460,2.169325,2.723830,0.363712,0.342883,0.003592
rolling_28d,HUB_LONGXUYEN,daily_hub,365,2.266243,2.815571,0.365335,0.343370,0.015007
rolling_28d,HUB_SOCTRANG,daily_hub,365,2.136693,2.662602,0.352535,0.333573,-0.012387
rolling_28d,HUB_VINHLONG,daily_hub,365,2.107926,2.709776,0.372275,0.349724,-0.009198
rolling_28d,HUB_VITHANH,daily_hub,365,2.166438,2.705037,0.364703,0.345306,-0.004583
monthly_seasonal,all_hubs,daily_hub,1460,2.177234,2.768116,0.368363,0.344134,-0.029072
monthly_seasonal,HUB_LONGXUYEN,daily_hub,365,2.267417,2.851625,0.368318,0.343548,-0.010381
monthly_seasonal,HUB_SOCTRANG,daily_hub,365,2.151199,2.721946,0.358643,0.335837,-0.058018
monthly_seasonal,HUB_VINHLONG,daily_hub,365,2.130610,2.746875,0.379822,0.353488,-0.037021
monthly_seasonal,HUB_VITHANH,daily_hub,365,2.159711,2.750234,0.366670,0.344233,-0.038433
calendar_trend_ridge,all_hubs,daily_hub,1460,2.078063,2.630244,0.351294,0.328459,0.070885
calendar_trend_ridge,HUB_LONGXUYEN,daily_hub,365,2.171602,2.710098,0.352806,0.329031,0.087422
calendar_trend_ridge,HUB_SOCTRANG,daily_hub,365,2.045678,2.584227,0.339376,0.319364,0.046336
calendar_trend_ridge,HUB_VINHLONG,daily_hub,365,2.006230,2.614571,0.357464,0.332852,0.060471
calendar_trend_ridge,HUB_VITHANH,daily_hub,365,2.088743,2.610346,0.355528,0.332922,0.064518
seasonal_naive,all_hubs,monthly_hub,48,22.020833,26.210287,0.121278,0.114431,-0.370087
rolling_28d,all_hubs,monthly_hub,48,10.383929,12.882482,0.054337,0.053960,0.669019
monthly_seasonal,all_hubs,monthly_hub,48,22.716374,25.939710,0.124702,0.118045,-0.341945
calendar_trend_ridge,all_hubs,monthly_hub,48,16.691592,20.606040,0.087051,0.086738,0.153175
