bulletin_id,issued_at,valid_from,valid_to,node_id,severity,road_status,water_navigation_status,max_rainfall_mm,max_flood_risk_idx,headline,bulletin_text,evidence_ref,source_type
WX_20240101_CT_HUB,2024-01-01T00:00:00+07:00,2024-01-01T00:00:00+07:00,2024-01-01T23:00:00+07:00,CT_HUB,none,open,open,0.729703,0.005164,"Trung tâm trung chuyển Cần Thơ: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Trung tâm trung chuyển Cần Thơ ngày 2024-01-01. Mưa cực đại theo giờ 0.7 mm, rủi ro lũ cực đại 0.01. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2024-01-01:CT_HUB,simulated
WX_20240101_HCM_MARKET,2024-01-01T00:00:00+07:00,2024-01-01T00:00:00+07:00,2024-01-01T23:00:00+07:00,HCM_MARKET,none,open,not_applicable,0.856589,0.013178,"Thị trường TP.HCM: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Thị trường TP.HCM ngày 2024-01-01. Mưa cực đại theo giờ 0.9 mm, rủi ro lũ cực đại 0.01. Trạng thái đường bộ: thông thường; trạng thái đường thủy: không áp dụng. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2024-01-01:HCM_MARKET,simulated
WX_20240101_HUB_LONGXUYEN,2024-01-01T00:00:00+07:00,2024-01-01T00:00:00+07:00,2024-01-01T23:00:00+07:00,HUB_LONGXUYEN,none,open,open,0.718563,0.005085,"Hub Long Xuyên: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Long Xuyên ngày 2024-01-01. Mưa cực đại theo giờ 0.7 mm, rủi ro lũ cực đại 0.01. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2024-01-01:HUB_LONGXUYEN,simulated
WX_20240101_HUB_SOCTRANG,2024-01-01T00:00:00+07:00,2024-01-01T00:00:00+07:00,2024-01-01T23:00:00+07:00,HUB_SOCTRANG,none,open,open,0.858587,0.006076,"Hub Sóc Trăng: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Sóc Trăng ngày 2024-01-01. Mưa cực đại theo giờ 0.9 mm, rủi ro lũ cực đại 0.01. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2024-01-01:HUB_SOCTRANG,simulated
WX_20240101_HUB_VINHLONG,2024-01-01T00:00:00+07:00,2024-01-01T00:00:00+07:00,2024-01-01T23:00:00+07:00,HUB_VINHLONG,none,open,open,0.707588,0.005008,"Hub Vĩnh Long: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Vĩnh Long ngày 2024-01-01. Mưa cực đại theo giờ 0.7 mm, rủi ro lũ cực đại 0.01. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2024-01-01:HUB_VINHLONG,simulated
WX_20240101_HUB_VITHANH,2024-01-01T00:00:00+07:00,2024-01-01T00:00:00+07:00,2024-01-01T23:00:00+07:00,HUB_VITHANH,none,open,open,0.910740,0.006445,"Hub Vị Thanh: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Vị Thanh ngày 2024-01-01. Mưa cực đại theo giờ 0.9 mm, rủi ro lũ cực đại 0.01. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2024-01-01:HUB_VITHANH,simulated
WX_20240102_CT_HUB,2024-01-02T00:00:00+07:00,2024-01-02T00:00:00+07:00,2024-01-02T23:00:00+07:00,CT_HUB,none,open,open,0.808624,0.005723,"Trung tâm trung chuyển Cần Thơ: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Trung tâm trung chuyển Cần Thơ ngày 2024-01-02. Mưa cực đại theo giờ 0.8 mm, rủi ro lũ cực đại 0.01. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2024-01-02:CT_HUB,simulated
WX_20240102_HCM_MARKET,2024-01-02T00:00:00+07:00,2024-01-02T00:00:00+07:00,2024-01-02T23:00:00+07:00,HCM_MARKET,none,open,not_applicable,0.459036,0.007062,"Thị trường TP.HCM: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Thị trường TP.HCM ngày 2024-01-02. Mưa cực đại theo giờ 0.5 mm, rủi ro lũ cực đại 0.01. Trạng thái đường bộ: thông thường; trạng thái đường thủy: không áp dụng. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2024-01-02:HCM_MARKET,simulated
WX_20240102_HUB_LONGXUYEN,2024-01-02T00:00:00+07:00,2024-01-02T00:00:00+07:00,2024-01-02T23:00:00+07:00,HUB_LONGXUYEN,none,open,open,0.709894,0.005024,"Hub Long Xuyên: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Long Xuyên ngày 2024-01-02. Mưa cực đại theo giờ 0.7 mm, rủi ro lũ cực đại 0.01. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2024-01-02:HUB_LONGXUYEN,simulated
WX_20240102_HUB_SOCTRANG,2024-01-02T00:00:00+07:00,2024-01-02T00:00:00+07:00,2024-01-02T23:00:00+07:00,HUB_SOCTRANG,none,open,open,0.534447,0.003782,"Hub Sóc Trăng: cảnh báo none, đường bộ thông thường","Bản tin mô phỏng cho Hub Sóc Trăng ngày 2024-01-02. Mưa cực đại theo giờ 0.5 mm, rủi ro lũ cực đại 0.00. Trạng thái đường bộ: thông thường; trạng thái đường thủy: thông thường. Khi trạng thái là tạm ngưng, agent phải loại tuyến khỏi tập khả thi thay vì chỉ cộng penalty chi phí.",weather:2024-01-02:HUB_SOCTRANG,simulated
